ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-176,Soy,no,2012,IL,IL,"Vermilion, IL",Acton,Home 1,,,no,no,"SiCL, L","Milford SiCL, La Hogue loam",no,no,,,SD,Urea,Q,-69.651,1.9071,-5.80E-03,164.4,87.1,0.37,155
NR-177,Soy,no,2012,IN,C,Hamilton,Becks,"E1, E2",,,no,no,"SiCL, SiL","Brookston, Crosby",no,no,Becks 6175 AMX,9-Apr,SD,UAN,Q,92.808,0.751934,-2.71E-03,138.6,144.9,0.95,118
NR-178,Corn,no,2012,IN,C,Hamilton,Becks,A6,,,no,no,"SiCL, SiL","Brookston, Crosby",no,no,Becks 6175 AMX,9-Apr,SD,UAN,QP,72.5047,1.0173,-3.00E-03,169.6,158.7,,151
NR-179,Soy,no,2012,IN,SW,Gibson,Becks,,,,no,no,SiL,Ragsdale,no,no,Becks 6175 AMX,2-Apr,SD,UAN,QP,98.0742,1.1993,-3.00E-03,199.6,217.8,,181
NR-180,Corn,no,2012,IN,SW,Gibson,Becks,,,,no,no,SiL,Ragsdale,no,no,Becks 6175 AMX,2-Apr,SD,UAN,QP,99.2021,0.9556,-1.64E-03,250,235.6,,257
NR-181,Soy,no,2012,IL,IL,"Vermilion, IL",Dalenburg,,,,no,no,SiL,Fincastle,no,no,,,SD,Urea,QP,80.7619,0.705,-1.49E-03,236.3,164,,199
NR-182,Soy,no,2012,IN,WC,Benton,Dimmich,78a,,,no,no,"SiCL, L","Selma, Crain",no,no,P0832AMXR,4-Apr,SD,NH3,NR,-,-,-,125,149,,
NR-183,Soy,yes,2012,IN,EC,Randolph,DPAC - P,P,40.24032442,-85.14972925,no,no,"SiL, SiCL","Blount, Pewamo",no,no,P0916XR,25-Apr,Avg,UAN,QP,64.7031,0.4428,-9.40E-04,234.58,116.6,,176
NR-184,Soy,no,2012,IN,NW,Pulaski,Fritz - Irrig,,,,yes,no,LfS,"Maume, Brems-Morocco",no,yes,Brodbeck 50SX13,28-Apr,SD,NH3,QP,-10.3448,2.3432,-7.83E-03,149.6,165,,142
NR-185,Soy,no,2012,IN,NW,Pulaski,Fritz - Non-irrig,,,,yes,no,LfS,"Maumee, Brems-Morocco",no,no,Brodbeck 50SX13,28-Apr,SD,NH3,QP,76.7038,0.3842,-1.02E-03,188.1,112.8,,133
